Repository Title,Repository Description,Contributors Count,Language
XengShi / materialYouNewTab,A Simple New Tab ( browsers's home page ) inspired with Google's 'Material You' design,No contributors data,HTML
Pythagora-io / gpt-pilot,The first real AI developer,No contributors data,Python
mediar-ai / screenpipe,24/7 local AI screen & mic recording. Build AI apps that have the full context. Works with Ollama. Alternative to Rewind.ai. Open. Secure. You own your data. Rust.,No contributors data,Rust
simplex-chat / simplex-chat,"SimpleX - the first messaging network operating without user identifiers of any kind - 100% private by design! iOS, Android and desktop apps 📱!",No contributors data,Haskell
mandiant / capa,The FLARE team's open-source tool to identify capabilities in executable files.,No contributors data,Python
freeCodeCamp / freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,No contributors data,TypeScript
shardeum / shardeum,Shardeum is an EVM based autoscaling blockchain,No contributors data,TypeScript
dolphin-emu / dolphin,"Dolphin is a GameCube / Wii emulator, allowing you to play games for these two platforms on PC with improvements.",No contributors data,C++
EbookFoundation / free-programming-books,📚 Freely available programming books,No contributors data,No language specified
xenova / whisper-web,ML-powered speech recognition directly in your browser,No contributors data,TypeScript
OpenBB-finance / OpenBB,"Investment Research for Everyone, Everywhere.",No contributors data,Python
Avaiga / taipy,Turns Data and AI algorithms into production-ready web applications in no time.,No contributors data,Python
grafana / k6,"A modern load testing tool, using Go and JavaScript - https://k6.io",No contributors data,Go
pytorch / ao,PyTorch native quantization and sparsity for training and inference,No contributors data,Python
LadybirdBrowser / ladybird,Truly independent web browser,No contributors data,C++
Asabeneh / 30-Days-Of-Python,"30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw",No contributors data,Python
armbian / build,"Armbian Linux build framework generates custom Debian or Ubuntu image for x86, aarch64, riscv64 & armhf",No contributors data,Shell
dair-ai / Prompt-Engineering-Guide,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering",No contributors data,MDX
